oven,long-delivery,3858.12,13451.59,273.35
table,long-delivery,9424.19,96359.76,630.79
cooking-kit,new-collection,9670.3,41574.96,404.89
skirt,long-delivery,5790.1,98533.69,233.38
fridge,free-delivery,3603.23,57392.89,207.39
drums,fragile,7312.85,80718.6,801.25
jeans,new-collection,2322.04,29386.88,582.32
blender,fragile,2409.14,91204.17,454.38
plant,free-delivery,2946.82,92376.59,586.43
sweater,fragile,8809.36,13396.28,557.15
skirt,new-collection,3139.21,35073.27,552.36
jeans,fragile,9669.83,68652.08,481.87
oven,fragile,2409.63,49502.37,309.13
Vinyl-player,long-delivery,2536.54,64950.22,924.93
drawing-kit,free-delivery,1909.84,65202.66,44.09
blender,long-delivery,133.7,49081.05,984.37
shoes,new-collection,5979.19,34110.17,586.5
microwave,free-delivery,4334.6,24004.08,911.37
toaster,new-collection,8893,52963.32,636.28
chairs,free-delivery,7068.97,85662.32,940.8
fridge,new-collection,3216.42,98754.99,106.27
plant,fragile,5884.93,62654.08,440.43
charger,free-delivery,7447.2,79628.7,919.63
boots,fragile,8168.34,53643.42,723.57
oven,free-delivery,2547.32,24313.14,89.27
drawing-kit,free-delivery,2346.28,15416.13,332.49
toaster,long-delivery,4631.31,64576.37,417.65
boots,fragile,4343.77,6360.21,789.59
plant,fragile,2738.69,82732.45,884.15
drums,fragile,2732.21,16507.75,397.38
sweater,long-delivery,6648.02,88600.86,591.41
plant,fragile,1393.74,71349.69,59.1
speakers,fragile,8615.03,76535.94,232.31
carpet,new-collection,6814.84,12499.97,892.47
lamp,long-delivery,4807.47,6200.36,937.23
coat,new-collection,5378.81,264.18,704.97
plant,fragile,5416.07,37358.22,882.04
sweater,fragile,8424.01,77745.68,174.45
charger,fragile,618.73,21682.55,931.46
toaster,long-delivery,109.79,81804.89,609.23
coat,free-delivery,9789.97,56232.23,91.23
cooking-kit,new-collection,6986.21,77573.23,365.94
coat,new-collection,4126.31,46830.13,827.78
headphones,free-delivery,1896.23,93205.13,493.82
boots,free-delivery,5853.39,66351.92,48.27
drums,new-collection,3024.17,94261.26,845.55
blender,fragile,5663.24,26582.27,817.39
socks,long-delivery,2560.19,98144.29,871.2
carpet,long-delivery,9321.89,74183.27,43.58
shirt,fragile,5549.72,88349.06,861.74
shirt,new-collection,5819.96,68535.98,648.31
guitar,new-collection,906.48,74234.11,756.69
table,fragile,2235.29,28689.16,176.51
table,free-delivery,7338.68,69614.08,246.27
jeans,free-delivery,1804.98,39928.65,103.77
boots,fragile,8840.12,85079.75,285.22
skirt,new-collection,9431.42,21119.16,583.88
toaster,free-delivery,7264.4,85377.69,528.96
socks,fragile,8078.37,18627.05,407.27
chairs,long-delivery,6921.38,3591.01,321.01
toaster,free-delivery,4851.07,84316.59,366.56
fridge,fragile,7355.28,72294.21,739.87
jeans,fragile,5368.33,45612.42,591.54
chairs,long-delivery,7447.57,50173.75,329.23
charger,free-delivery,9426.36,83226.08,212.44
toaster,new-collection,1120.83,84957.03,503.31
lamp,long-delivery,7131.28,16153.31,853.82
socks,long-delivery,1476.19,55690.06,838.2
drums,free-delivery,3848.91,38478.93,166.38
coat,long-delivery,23.73,36703.34,717.71
blender,free-delivery,6776.85,86933.53,735.86
kettle,long-delivery,3765.56,86502.4,341.07
blender,fragile,8585.24,80560.61,363.93
plant,free-delivery,96.94,43132.92,900.19
table,long-delivery,6705.85,63531.64,145.75
plant,fragile,3093.58,12100.57,521.2
shoes,fragile,9268.91,53311.97,551.21
socks,free-delivery,2722.64,89798.51,169.24
oven,long-delivery,6744.76,79721.59,273.21
socks,free-delivery,9964.53,26687.23,639.77
toaster,long-delivery,8654.36,35627.33,195.13
charger,long-delivery,6207.59,37946.66,709.46
oven,new-collection,5501.35,29771.12,560.46
drawing-kit,free-delivery,1239.61,99945.41,796.37
coat,free-delivery,504.93,6748.5,720.7
boots,new-collection,9313.17,91201.86,996.72
speakers,fragile,1469.53,96826.66,464.88
shirt,long-delivery,9314.07,3840.97,507.46
chairs,long-delivery,8046.97,65865.04,689.07
toaster,free-delivery,6769.51,11529.32,104.41
sweater,long-delivery,108.63,33374.4,934.17
shirt,fragile,7564.77,87532.84,943.42
shirt,long-delivery,3520.35,17325.61,895.08
kettle,new-collection,6242.36,16170.4,962.57
coat,new-collection,5704,95707.5,820.59
blender,new-collection,6076.8,38622.83,141
speakers,new-collection,5597.3,65839.68,753.73
kettle,new-collection,838.92,20231.1,953.42
drawing-kit,free-delivery,9246.98,90569.16,346.45
boots,free-delivery,2537.36,14238.04,89.23
Vinyl-player,new-collection,6174.09,29933.35,793.45
jeans,long-delivery,7688.96,33794.96,87.12
dress,fragile,6983.11,68019.44,235.53
blender,free-delivery,4455.22,32337.32,59.21
fridge,new-collection,996.25,44730.49,962.12
skirt,long-delivery,2267.76,64136.85,510.14
socks,fragile,4453.23,43343.28,140.94
fridge,fragile,7940.19,27513.49,190.3
shoes,long-delivery,163.87,36188.25,671.24
shoes,long-delivery,1392.39,51966.76,511.57
table,fragile,777.33,127.95,279.79
